"No.","Time","Source","Destination","Protocol","Identification"
"132","2022-03-11 10:46:53,114367268","192.168.2.10","192.168.2.6","UDP","0x4e68 (20072)"
"133","2022-03-11 10:46:53,141280333","192.168.2.10","192.168.2.6","UDP","0x4e7c (20092)"
"134","2022-03-11 10:46:53,168359662","192.168.2.10","192.168.2.6","UDP","0x4e84 (20100)"
"135","2022-03-11 10:46:53,195300589","192.168.2.10","192.168.2.6","UDP","0x4e9f (20127)"
"136","2022-03-11 10:46:53,222303283","192.168.2.10","192.168.2.6","UDP","0x4eb8 (20152)"
"137","2022-03-11 10:46:53,249533939","192.168.2.10","192.168.2.6","UDP","0x4ecb (20171)"
"138","2022-03-11 10:46:53,276304027","192.168.2.10","192.168.2.6","UDP","0x4ed0 (20176)"
"139","2022-03-11 10:46:53,303308740","192.168.2.10","192.168.2.6","UDP","0x4ee7 (20199)"
"140","2022-03-11 10:46:53,330314524","192.168.2.10","192.168.2.6","UDP","0x4eec (20204)"
"141","2022-03-11 10:46:53,357305829","192.168.2.10","192.168.2.6","UDP","0x4efc (20220)"
"142","2022-03-11 10:46:53,384357112","192.168.2.10","192.168.2.6","UDP","0x4f15 (20245)"
"143","2022-03-11 10:46:53,411285382","192.168.2.10","192.168.2.6","UDP","0x4f2d (20269)"
"144","2022-03-11 10:46:53,438172628","192.168.2.10","192.168.2.6","UDP","0x4f3d (20285)"
"145","2022-03-11 10:46:53,465315533","192.168.2.10","192.168.2.6","UDP","0x4f53 (20307)"
"146","2022-03-11 10:46:53,492229387","192.168.2.10","192.168.2.6","UDP","0x4f62 (20322)"
"147","2022-03-11 10:46:53,519482721","192.168.2.10","192.168.2.6","UDP","0x4f69 (20329)"
"148","2022-03-11 10:46:53,546331416","192.168.2.10","192.168.2.6","UDP","0x4f7c (20348)"
"149","2022-03-11 10:46:53,573288435","192.168.2.10","192.168.2.6","UDP","0x4f96 (20374)"
"150","2022-03-11 10:46:53,600327638","192.168.2.10","192.168.2.6","UDP","0x4f9e (20382)"
"151","2022-03-11 10:46:53,627272165","192.168.2.10","192.168.2.6","UDP","0x4fb6 (20406)"
"152","2022-03-11 10:46:53,648208216","192.168.2.10","88.221.214.32","TCP","0xdd04 (56580)"
"153","2022-03-11 10:46:53,648208534","192.168.2.10","99.84.152.89","TCP","0xee97 (61079)"
"154","2022-03-11 10:46:53,655261489","99.84.152.89","192.168.2.10","TCP","0xc981 (51585)"
"155","2022-03-11 10:46:53,655263183","88.221.214.32","192.168.2.10","TCP","0xe14b (57675)"
"156","2022-03-11 10:46:53,655467129","192.168.2.10","192.168.2.6","UDP","0x4fc4 (20420)"
"157","2022-03-11 10:46:53,683211544","192.168.2.10","192.168.2.6","UDP","0x4fcf (20431)"
"158","2022-03-11 10:46:53,710208882","192.168.2.10","192.168.2.6","UDP","0x4fd4 (20436)"
"159","2022-03-11 10:46:53,738874161","192.168.2.10","192.168.2.6","UDP","0x4fe4 (20452)"
"160","2022-03-11 10:46:53,765319048","192.168.2.10","192.168.2.6","UDP","0x4ff7 (20471)"
"161","2022-03-11 10:46:53,792298740","192.168.2.10","192.168.2.6","UDP","0x500d (20493)"
"162","2022-03-11 10:46:53,819284635","192.168.2.10","192.168.2.6","UDP","0x501c (20508)"
"163","2022-03-11 10:46:53,846418691","192.168.2.10","192.168.2.6","UDP","0x5023 (20515)"
"164","2022-03-11 10:46:53,873299864","192.168.2.10","192.168.2.6","UDP","0x5033 (20531)"
"165","2022-03-11 10:46:53,900351591","192.168.2.10","192.168.2.6","UDP","0x503b (20539)"
"166","2022-03-11 10:46:53,927213937","192.168.2.10","192.168.2.6","UDP","0x5042 (20546)"
"167","2022-03-11 10:46:53,954146168","192.168.2.10","192.168.2.6","UDP","0x504f (20559)"
"168","2022-03-11 10:46:53,980343962","192.168.2.10","192.168.2.6","UDP","0x5066 (20582)"
"169","2022-03-11 10:46:54,007480756","192.168.2.10","192.168.2.6","UDP","0x506d (20589)"
"170","2022-03-11 10:46:54,034279078","192.168.2.10","192.168.2.6","UDP","0x507f (20607)"
"171","2022-03-11 10:46:54,061297604","192.168.2.10","192.168.2.6","UDP","0x5081 (20609)"
"172","2022-03-11 10:46:54,088340019","192.168.2.10","192.168.2.6","UDP","0x5091 (20625)"
"173","2022-03-11 10:46:54,115594602","192.168.2.10","192.168.2.6","UDP","0x509b (20635)"
"174","2022-03-11 10:46:54,142310354","192.168.2.10","192.168.2.6","UDP","0x50a4 (20644)"
"175","2022-03-11 10:46:54,169406233","192.168.2.10","192.168.2.6","UDP","0x50b5 (20661)"
"176","2022-03-11 10:46:54,196418148","192.168.2.10","192.168.2.6","UDP","0x50cd (20685)"
"177","2022-03-11 10:46:54,223225094","192.168.2.10","192.168.2.6","UDP","0x50e3 (20707)"
"178","2022-03-11 10:46:54,250311725","192.168.2.10","192.168.2.6","UDP","0x50ea (20714)"
"179","2022-03-11 10:46:54,277208768","192.168.2.10","192.168.2.6","UDP","0x50f6 (20726)"
"180","2022-03-11 10:46:54,303660111","192.168.2.10","192.168.2.6","UDP","0x50fe (20734)"
"181","2022-03-11 10:46:54,330314368","192.168.2.10","192.168.2.6","UDP","0x510c (20748)"
"182","2022-03-11 10:46:54,357217570","192.168.2.10","192.168.2.6","UDP","0x5119 (20761)"
"183","2022-03-11 10:46:54,384411269","192.168.2.10","192.168.2.6","UDP","0x511d (20765)"
"184","2022-03-11 10:46:54,411173807","192.168.2.10","192.168.2.6","UDP","0x512d (20781)"
