"0x48dd (18653)","b'[0.328552, 0.040781, 0.544706, 0.035008, -0.038758, -0.018175]#[-0.04361331186943048, -0.6972836050318016, 0.1120244618675191, -2.1555150681211237, 0.05346506775973672, 1.5000966627597796, 0.7993533267869074]#OPEN'"
"0x48eb (18667)","b'[0.328549, 0.040785, 0.544710, 0.035014, -0.038770, -0.018176]#[-0.043609900808300385, -0.6972961215256114, 0.11202974865206501, -2.1555150681211237, 0.05346814563352891, 1.5000966627597805, 0.7993554470050911]#OPEN'"
"0x4904 (18692)","b'[0.328541, 0.040789, 0.544724, 0.035019, -0.038814, -0.018188]#[-0.04360986554683833, -0.6973347081603434, 0.11204033684814443, -2.1555117272494133, 0.053465795164767245, 1.5000989007155097, 0.7993591091136137]#OPEN'"
"0x491a (18714)","b'[0.328543, 0.040793, 0.544720, 0.035029, -0.038801, -0.018193]#[-0.04360987442234274, -0.6973250787598007, 0.1120503968376549, -2.1555117272494133, 0.053466707826024355, 1.5000966627597805, 0.7993568711587122]#OPEN'"
"0x492b (18731)","b'[0.328550, 0.040789, 0.544704, 0.035018, -0.038752, -0.018187]#[-0.0436136693201569, -0.697285555345356, 0.11204495805118514, -2.15551868739881, 0.05346682821880792, 1.5000938144524887, 0.7993598211904366]#OPEN'"
"0x4939 (18745)","b'[0.328550, 0.040789, 0.544705, 0.035028, -0.038759, -0.018183]#[-0.043610602988898815, -0.6972888947453415, 0.11204150870240864, -2.15551868739881, 0.05346864007429634, 1.5000973748366033, 0.7993502590167852]#OPEN'"
"0x4950 (18768)","b'[0.328548, 0.040784, 0.544714, 0.035008, -0.038782, -0.018177]#[-0.04361605195644125, -0.6973047642130152, 0.11203045905479965, -2.1555117272494133, 0.05346899514645531, 1.5000966627597805, 0.7993561590280542]#OPEN'"
"0x4951 (18769)","b'[0.328548, 0.040780, 0.544714, 0.035004, -0.038782, -0.018173]#[-0.04361998632838898, -0.6973054789440973, 0.11202445893852334, -2.1555117272494133, 0.053469235901964146, 1.5000952386061346, 0.7993517848897098]#OPEN'"
"0x495a (18778)","b'[0.328549, 0.040786, 0.544710, 0.035013, -0.038769, -0.018176]#[-0.04361153731273499, -0.6972961333007143, 0.11203169749389064, -2.1555150681211237, 0.05346997713476997, 1.5000952386061346, 0.7993568711586878]#OPEN'"
"0x495f (18783)","b'[0.328546, 0.040790, 0.544713, 0.035019, -0.038780, -0.018185]#[-0.04361224741360536, -0.6973083831649988, 0.11204281403164029, -2.1555150671036385, 0.05346864111892638, 1.5000952386061348, 0.7993587502495006]#OPEN'"
