"0xf92f (63791)","b'[0.334148, 0.048200, 0.545973, -0.033527, -0.194846, 0.031706]#[-0.05429784954587617, -0.7896711390980503, 0.11809070121593387, -2.2531179748357175, 0.10212764896187707, 1.6638712610222064, 0.8536821162972696]#OPEN'"
"0xf943 (63811)","b'[0.334148, 0.048201, 0.545973, -0.033529, -0.194847, 0.031705]#[-0.05429617911002091, -0.789669468662195, 0.1180919956637801, -2.253116057080249, 0.10212726042485644, 1.6638715958231383, 0.8536875799522325]#OPEN'"
"0xf94e (63822)","b'[0.334149, 0.048200, 0.545973, -0.033531, -0.194845, 0.031707]#[-0.05429784954587617, -0.7896677982263398, 0.11809071117067936, -2.253115088189692, 0.10212776660185448, 1.663870883425437, 0.8536869976972321]#OPEN'"
"0xf959 (63833)","b'[0.334149, 0.048200, 0.545973, -0.033524, -0.194844, 0.031703]#[-0.05429617911002091, -0.7896658493845087, 0.11809000175252451, -2.253114573699921, 0.10212457326577166, 1.6638712556942923, 0.8536808099805624]#OPEN'"
"0xf964 (63844)","b'[0.334149, 0.048200, 0.545975, -0.033527, -0.194849, 0.031702]#[-0.05429784954587617, -0.789669468662195, 0.11809127769623813, -2.2531133872292797, 0.10212350393893875, 1.663870896343668, 0.8536838165488984]#OPEN'"
"0xf96a (63850)","b'[0.334149, 0.048199, 0.545974, -0.033537, -0.194847, 0.031711]#[-0.05429784954587617, -0.7896677982263398, 0.11808737019471552, -2.253113425893098, 0.10212837305379625, 1.6638715997171591, 0.8536896602775796]#OPEN'"
"0xf97f (63871)","b'[0.334149, 0.048200, 0.545972, -0.033532, -0.194843, 0.031707]#[-0.05429784954587617, -0.7896677982263398, 0.11809023753664753, -2.2531170461763224, 0.10212776724937166, 1.6638705300510002, 0.8536873595212885]#OPEN'"
"0xf982 (63874)","b'[0.334149, 0.048199, 0.545972, -0.033531, -0.194843, 0.031706]#[-0.054299798387707314, -0.7896677982263398, 0.11809007969471237, -2.2531170458497107, 0.10212763574666793, 1.6638705315025564, 0.8536841188791535]#OPEN'"
"0xf986 (63878)","b'[0.334149, 0.048200, 0.545974, -0.033532, -0.194848, 0.031701]#[-0.054299798387707314, -0.7896694686503063, 0.11809362015967724, -2.2531150932645563, 0.10212380683897455, 1.6638715896871354, 0.8536881228978207]#OPEN'"
"0xf992 (63890)","b'[0.334148, 0.048199, 0.545972, -0.033527, -0.194841, 0.031703]#[-0.05429784954587617, -0.7896677982263398, 0.11809000077373101, -2.2531183869469875, 0.10212456029247764, 1.6638698223388169, 0.8536822395004874]#OPEN'"
"0xf9a1 (63905)","b'[0.334149, 0.048200, 0.545973, -0.033530, -0.194846, 0.031704]#[-0.054299798387707314, -0.7896677982263398, 0.11809167997858236, -2.2531150878379456, 0.10212644475035063, 1.6638719542026763, 0.8536851006440951]#OPEN'"
"0xf9b2 (63922)","b'[0.334149, 0.048199, 0.545975, -0.033536, -0.194848, 0.031708]#[-0.054299798387707314, -0.789669468662195, 0.11808833033787576, -2.253113804141918, 0.10212670030627306, 1.6638705300490062, 0.8536882742131842]#OPEN'"
"0xf9bb (63931)","b'[0.334149, 0.048200, 0.545974, -0.033529, -0.194847, 0.031707]#[-0.05429784954587617, -0.7896677982263398, 0.11808950982575088, -2.2531133444949045, 0.10212776671002956, 1.663870530049007, 0.8536841238705898]#OPEN'"
"0xf9d5 (63957)","b'[0.334149, 0.048199, 0.545974, -0.033533, -0.194847, 0.031703]#[-0.05429784954587617, -0.7896677982263398, 0.1180900020773046, -2.253113426572019, 0.10212349546523139, 1.6638705300490142, 0.8536881340442832]#OPEN'"
"0xf9e0 (63968)","b'[0.334149, 0.048199, 0.545975, -0.033531, -0.194847, 0.031706]#[-0.054299798387707314, -0.7896677982263398, 0.11809023753667694, -2.2531128446348356, 0.10212730861086369, 1.663870879227362, 0.8536848181052442]#OPEN'"
"0xf9f3 (63987)","b'[0.334148, 0.048201, 0.545973, -0.033528, -0.194846, 0.031702]#[-0.05429784954587617, -0.7896711390980503, 0.1180928419284672, -2.2531169624159433, 0.10212505184930393, 1.6638705300490062, 0.8536855759639832]#OPEN'"
"0xfa09 (64009)","b'[0.334148, 0.048200, 0.545975, -0.033537, -0.194848, 0.031706]#[-0.05429784954587617, -0.789669468662195, 0.11809000954272711, -2.2531128721069695, 0.10212583284428685, 1.6638698180319997, 0.8536921311169383]#OPEN'"
"0xfa0f (64015)","b'[0.334148, 0.048202, 0.545973, -0.033524, -0.194845, 0.031702]#[-0.05429617911002091, -0.789669468662195, 0.11809380304996989, -2.253116963615804, 0.10212573760427084, 1.6638705692968596, 0.8536842872188352]#OPEN'"
