"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time delta from previous captured frame"
"93","2022-03-11 10:46:41,672573599","192.168.2.10","192.168.2.6","UDP","0x3752 (14162)","257","0.027035080"
"94","2022-03-11 10:46:41,699627360","192.168.2.10","192.168.2.6","UDP","0x3758 (14168)","257","0.027053761"
"95","2022-03-11 10:46:41,726597942","192.168.2.10","192.168.2.6","UDP","0x375f (14175)","255","0.026970582"
"96","2022-03-11 10:46:41,752580686","192.168.2.10","192.168.2.6","UDP","0x3764 (14180)","256","0.025982744"
"97","2022-03-11 10:46:41,779558936","192.168.2.10","192.168.2.6","UDP","0x376a (14186)","254","0.026978250"
"98","2022-03-11 10:46:41,806557303","192.168.2.10","192.168.2.6","UDP","0x3773 (14195)","255","0.026998367"
"99","2022-03-11 10:46:41,833552154","192.168.2.10","192.168.2.6","UDP","0x3778 (14200)","254","0.026994851"
"100","2022-03-11 10:46:41,860601203","192.168.2.10","192.168.2.6","UDP","0x3780 (14208)","256","0.027049049"
"101","2022-03-11 10:46:41,887542717","192.168.2.10","192.168.2.6","UDP","0x3795 (14229)","256","0.026941514"
"102","2022-03-11 10:46:41,914442219","192.168.2.10","192.168.2.6","UDP","0x37a3 (14243)","257","0.026899502"
"103","2022-03-11 10:46:41,941579528","192.168.2.10","192.168.2.6","UDP","0x37b9 (14265)","256","0.027137309"
"104","2022-03-11 10:46:41,968565029","192.168.2.10","192.168.2.6","UDP","0x37d4 (14292)","257","0.026985501"
"105","2022-03-11 10:46:41,995913623","192.168.2.10","192.168.2.6","UDP","0x37da (14298)","256","0.027348594"
"106","2022-03-11 10:46:42,022565081","192.168.2.10","192.168.2.6","UDP","0x37ed (14317)","256","0.026651458"
"107","2022-03-11 10:46:42,049549201","192.168.2.10","192.168.2.6","UDP","0x37fa (14330)","256","0.026984120"
"108","2022-03-11 10:46:42,076604348","192.168.2.10","192.168.2.6","UDP","0x380b (14347)","256","0.027055147"
"109","2022-03-11 10:46:42,103622282","192.168.2.10","192.168.2.6","UDP","0x380f (14351)","254","0.027017934"
"110","2022-03-11 10:46:42,130601967","192.168.2.10","192.168.2.6","UDP","0x3810 (14352)","256","0.026979685"
"111","2022-03-11 10:46:42,157609855","192.168.2.10","192.168.2.6","UDP","0x3815 (14357)","255","0.027007888"
"112","2022-03-11 10:46:42,184513127","192.168.2.10","192.168.2.6","UDP","0x3816 (14358)","255","0.026903272"
"113","2022-03-11 10:46:42,211479964","192.168.2.10","192.168.2.6","UDP","0x3825 (14373)","257","0.026966837"
"114","2022-03-11 10:46:42,237391143","192.168.2.10","192.168.2.6","UDP","0x3837 (14391)","255","0.025911179"
"115","2022-03-11 10:46:42,264489682","192.168.2.10","192.168.2.6","UDP","0x3841 (14401)","254","0.027098539"
"116","2022-03-11 10:46:42,291582316","192.168.2.10","192.168.2.6","UDP","0x384c (14412)","256","0.027092634"
"117","2022-03-11 10:46:42,318546334","192.168.2.10","192.168.2.6","UDP","0x385e (14430)","254","0.026964018"
"118","2022-03-11 10:46:42,344592197","192.168.2.10","192.168.2.6","UDP","0x386d (14445)","257","0.026045863"
"119","2022-03-11 10:46:42,371524403","192.168.2.10","192.168.2.6","UDP","0x3888 (14472)","256","0.026932206"
"120","2022-03-11 10:46:42,398498193","192.168.2.10","192.168.2.6","UDP","0x389e (14494)","255","0.026973790"
"121","2022-03-11 10:46:42,425545330","192.168.2.10","192.168.2.6","UDP","0x38a4 (14500)","256","0.027047137"
"122","2022-03-11 10:46:42,452535050","192.168.2.10","192.168.2.6","UDP","0x38a6 (14502)","257","0.026989720"
"123","2022-03-11 10:46:42,479534638","192.168.2.10","192.168.2.6","UDP","0x38b9 (14521)","257","0.026999588"
"124","2022-03-11 10:46:42,506442543","192.168.2.10","192.168.2.6","UDP","0x38c9 (14537)","257","0.026907905"
"125","2022-03-11 10:46:42,533531435","192.168.2.10","192.168.2.6","UDP","0x38cf (14543)","254","0.027088892"
"126","2022-03-11 10:46:42,560536540","192.168.2.10","192.168.2.6","UDP","0x38d3 (14547)","254","0.027005105"
"127","2022-03-11 10:46:42,587504143","192.168.2.10","192.168.2.6","UDP","0x38e3 (14563)","257","0.026967603"
"128","2022-03-11 10:46:42,614426609","192.168.2.10","192.168.2.6","UDP","0x38ec (14572)","257","0.026922466"
"129","2022-03-11 10:46:42,641517975","192.168.2.10","192.168.2.6","UDP","0x3901 (14593)","256","0.027091366"
"130","2022-03-11 10:46:42,668514237","192.168.2.10","192.168.2.6","UDP","0x3909 (14601)","256","0.026996262"
"131","2022-03-11 10:46:42,695438885","192.168.2.10","192.168.2.6","UDP","0x3912 (14610)","255","0.026924648"
"132","2022-03-11 10:46:42,722513620","192.168.2.10","192.168.2.6","UDP","0x3918 (14616)","256","0.027074735"
"133","2022-03-11 10:46:42,749526350","192.168.2.10","192.168.2.6","UDP","0x3920 (14624)","256","0.027012730"
"134","2022-03-11 10:46:42,776532835","192.168.2.10","192.168.2.6","UDP","0x392d (14637)","257","0.027006485"
"135","2022-03-11 10:46:42,803510987","192.168.2.10","192.168.2.6","UDP","0x392e (14638)","255","0.026978152"
"136","2022-03-11 10:46:42,830551836","192.168.2.10","192.168.2.6","UDP","0x3945 (14661)","255","0.027040849"
"137","2022-03-11 10:46:42,856536965","192.168.2.10","192.168.2.6","UDP","0x3957 (14679)","257","0.025985129"
"138","2022-03-11 10:46:42,883469317","192.168.2.10","192.168.2.6","UDP","0x3970 (14704)","253","0.026932352"
"139","2022-03-11 10:46:42,910516252","192.168.2.10","192.168.2.6","UDP","0x3977 (14711)","254","0.027046935"
"140","2022-03-11 10:46:42,937551100","192.168.2.10","192.168.2.6","UDP","0x3985 (14725)","254","0.027034848"
"141","2022-03-11 10:46:42,964483878","192.168.2.10","192.168.2.6","UDP","0x398d (14733)","256","0.026932778"
"142","2022-03-11 10:46:42,991554566","192.168.2.10","192.168.2.6","UDP","0x3990 (14736)","256","0.027070688"
"143","2022-03-11 10:46:43,018480428","192.168.2.10","192.168.2.6","UDP","0x3995 (14741)","256","0.026925862"
"144","2022-03-11 10:46:43,045509511","192.168.2.10","192.168.2.6","UDP","0x3999 (14745)","255","0.027029083"
"145","2022-03-11 10:46:43,072526801","192.168.2.10","192.168.2.6","UDP","0x39b2 (14770)","256","0.027017290"
"146","2022-03-11 10:46:43,099510671","192.168.2.10","192.168.2.6","UDP","0x39c3 (14787)","257","0.026983870"
