"No.","Time","Source","Destination","Protocol","Identification","Frame length on the wire","Time since previous frame"
"73","2022-03-11 10:56:24,206857956","192.168.2.10","192.168.2.6","UDP","0xd7fe (55294)","249","0.026766181"
"74","2022-03-11 10:56:24,234099830","192.168.2.10","192.168.2.6","UDP","0xd815 (55317)","252","0.027241874"
"75","2022-03-11 10:56:24,260937922","192.168.2.10","192.168.2.6","UDP","0xd819 (55321)","253","0.026838092"
"76","2022-03-11 10:56:24,288081570","192.168.2.10","192.168.2.6","UDP","0xd81b (55323)","253","0.027143648"
"77","2022-03-11 10:56:24,315064430","192.168.2.10","192.168.2.6","UDP","0xd834 (55348)","252","0.026982860"
"78","2022-03-11 10:56:24,342023341","192.168.2.10","192.168.2.6","UDP","0xd84e (55374)","252","0.026958911"
"79","2022-03-11 10:56:24,368901640","192.168.2.10","192.168.2.6","UDP","0xd85f (55391)","253","0.026878299"
"80","2022-03-11 10:56:24,395968102","192.168.2.10","192.168.2.6","UDP","0xd86f (55407)","253","0.027066462"
"81","2022-03-11 10:56:24,423080597","192.168.2.10","192.168.2.6","UDP","0xd881 (55425)","252","0.027112495"
"82","2022-03-11 10:56:24,450054928","192.168.2.10","192.168.2.6","UDP","0xd898 (55448)","252","0.026974331"
"83","2022-03-11 10:56:24,476964779","192.168.2.10","192.168.2.6","UDP","0xd89c (55452)","252","0.026909851"
"84","2022-03-11 10:56:24,504347801","192.168.2.10","192.168.2.6","UDP","0xd8a7 (55463)","253","0.027383022"
"85","2022-03-11 10:56:24,531107220","192.168.2.10","192.168.2.6","UDP","0xd8ab (55467)","251","0.026759419"
"86","2022-03-11 10:56:24,558056198","192.168.2.10","192.168.2.6","UDP","0xd8b2 (55474)","253","0.026948978"
"87","2022-03-11 10:56:24,585039678","192.168.2.10","192.168.2.6","UDP","0xd8c0 (55488)","250","0.026983480"
"88","2022-03-11 10:56:24,612095377","192.168.2.10","192.168.2.6","UDP","0xd8d2 (55506)","252","0.027055699"
"89","2022-03-11 10:56:24,640947329","192.168.2.10","192.168.2.6","UDP","0xd8dc (55516)","252","0.028851952"
"90","2022-03-11 10:56:24,668003538","192.168.2.10","192.168.2.6","UDP","0xd8de (55518)","251","0.027056209"
"91","2022-03-11 10:56:24,695109414","192.168.2.10","192.168.2.6","UDP","0xd8eb (55531)","252","0.027105876"
"92","2022-03-11 10:56:24,722548927","192.168.2.10","192.168.2.6","UDP","0xd903 (55555)","252","0.027439513"
"93","2022-03-11 10:56:24,749095759","192.168.2.10","192.168.2.6","UDP","0xd90d (55565)","254","0.026546832"
"94","2022-03-11 10:56:24,775976740","192.168.2.10","192.168.2.6","UDP","0xd91b (55579)","252","0.026880981"
"95","2022-03-11 10:56:24,803002524","192.168.2.10","192.168.2.6","UDP","0xd929 (55593)","253","0.027025784"
"96","2022-03-11 10:56:24,829883374","192.168.2.10","192.168.2.6","UDP","0xd932 (55602)","252","0.026880850"
"97","2022-03-11 10:56:24,856980199","192.168.2.10","192.168.2.6","UDP","0xd93d (55613)","252","0.027096825"
"98","2022-03-11 10:56:24,884054601","192.168.2.10","192.168.2.6","UDP","0xd93f (55615)","253","0.027074402"
"99","2022-03-11 10:56:24,911106530","192.168.2.10","192.168.2.6","UDP","0xd954 (55636)","252","0.027051929"
"100","2022-03-11 10:56:24,937994535","192.168.2.10","192.168.2.6","UDP","0xd965 (55653)","252","0.026888005"
"101","2022-03-11 10:56:24,965151858","192.168.2.10","192.168.2.6","UDP","0xd96c (55660)","251","0.027157323"
"102","2022-03-11 10:56:24,992001716","192.168.2.10","192.168.2.6","UDP","0xd982 (55682)","253","0.026849858"
"103","2022-03-11 10:56:25,019104191","192.168.2.10","192.168.2.6","UDP","0xd992 (55698)","252","0.027102475"
"104","2022-03-11 10:56:25,046072545","192.168.2.10","192.168.2.6","UDP","0xd99f (55711)","253","0.026968354"
"105","2022-03-11 10:56:25,072864743","192.168.2.10","192.168.2.6","UDP","0xd9ac (55724)","253","0.026792198"
"106","2022-03-11 10:56:25,099951251","192.168.2.10","192.168.2.6","UDP","0xd9b7 (55735)","252","0.027086508"
"107","2022-03-11 10:56:25,127085141","192.168.2.10","192.168.2.6","UDP","0xd9c8 (55752)","253","0.027133890"
"108","2022-03-11 10:56:25,154063565","192.168.2.10","192.168.2.6","UDP","0xd9d7 (55767)","252","0.026978424"
"109","2022-03-11 10:56:25,180865893","192.168.2.10","192.168.2.6","UDP","0xd9e9 (55785)","250","0.026802328"
"110","2022-03-11 10:56:25,208116883","192.168.2.10","192.168.2.6","UDP","0xd9f0 (55792)","252","0.027250990"
"111","2022-03-11 10:56:25,234918372","192.168.2.10","192.168.2.6","UDP","0xd9f4 (55796)","251","0.026801489"
"112","2022-03-11 10:56:25,261937019","192.168.2.10","192.168.2.6","UDP","0xd9fc (55804)","254","0.027018647"
"113","2022-03-11 10:56:25,288956602","192.168.2.10","192.168.2.6","UDP","0xda11 (55825)","253","0.027019583"
"114","2022-03-11 10:56:25,316011059","192.168.2.10","192.168.2.6","UDP","0xda1a (55834)","253","0.027054457"
"115","2022-03-11 10:56:25,342967319","192.168.2.10","192.168.2.6","UDP","0xda30 (55856)","250","0.026956260"
"116","2022-03-11 10:56:25,370062248","192.168.2.10","192.168.2.6","UDP","0xda38 (55864)","251","0.027094929"
"117","2022-03-11 10:56:25,397048199","192.168.2.10","192.168.2.6","UDP","0xda3b (55867)","251","0.026985951"
"118","2022-03-11 10:56:25,424122691","192.168.2.10","192.168.2.6","UDP","0xda3c (55868)","253","0.027074492"
"119","2022-03-11 10:56:25,451021495","192.168.2.10","192.168.2.6","UDP","0xda4f (55887)","251","0.026898804"
"120","2022-03-11 10:56:25,477931953","192.168.2.10","192.168.2.6","UDP","0xda52 (55890)","251","0.026910458"
"121","2022-03-11 10:56:25,505069003","192.168.2.10","192.168.2.6","UDP","0xda58 (55896)","253","0.027137050"
"122","2022-03-11 10:56:25,532124303","192.168.2.10","192.168.2.6","UDP","0xda6a (55914)","253","0.027055300"
"123","2022-03-11 10:56:25,559005422","192.168.2.10","192.168.2.6","UDP","0xda6f (55919)","252","0.026881119"
"124","2022-03-11 10:56:25,585950555","192.168.2.10","192.168.2.6","UDP","0xda77 (55927)","252","0.026945133"
"125","2022-03-11 10:56:25,613006183","192.168.2.10","192.168.2.6","UDP","0xda7f (55935)","253","0.027055628"
"126","2022-03-11 10:56:25,639911677","192.168.2.10","192.168.2.6","UDP","0xda82 (55938)","253","0.026905494"
"127","2022-03-11 10:56:25,666886001","192.168.2.10","192.168.2.6","UDP","0xda92 (55954)","253","0.026974324"
"128","2022-03-11 10:56:25,694002445","192.168.2.10","192.168.2.6","UDP","0xda94 (55956)","254","0.027116444"
"129","2022-03-11 10:56:25,721024621","192.168.2.10","192.168.2.6","UDP","0xdaaa (55978)","253","0.027022176"
"130","2022-03-11 10:56:25,748105365","192.168.2.10","192.168.2.6","UDP","0xdab8 (55992)","253","0.027080744"
"131","2022-03-11 10:56:25,775055090","192.168.2.10","192.168.2.6","UDP","0xdac0 (56000)","253","0.026949725"
"132","2022-03-11 10:56:25,802068976","192.168.2.10","192.168.2.6","UDP","0xdaca (56010)","253","0.027013886"
"133","2022-03-11 10:56:25,829012428","192.168.2.10","192.168.2.6","UDP","0xdae3 (56035)","252","0.026943452"
"134","2022-03-11 10:56:25,855940580","192.168.2.10","192.168.2.6","UDP","0xdae8 (56040)","249","0.026928152"
"135","2022-03-11 10:56:25,883016208","192.168.2.10","192.168.2.6","UDP","0xdaf4 (56052)","252","0.027075628"
"136","2022-03-11 10:56:25,909900511","192.168.2.10","192.168.2.6","UDP","0xdafa (56058)","252","0.026884303"
"137","2022-03-11 10:56:25,936859550","192.168.2.10","192.168.2.6","UDP","0xdb09 (56073)","253","0.026959039"
"138","2022-03-11 10:56:25,964061645","192.168.2.10","192.168.2.6","UDP","0xdb16 (56086)","254","0.027202095"
"139","2022-03-11 10:56:25,990886394","192.168.2.10","192.168.2.6","UDP","0xdb1f (56095)","252","0.026824749"
"140","2022-03-11 10:56:26,018038042","192.168.2.10","192.168.2.6","UDP","0xdb28 (56104)","253","0.027151648"
"141","2022-03-11 10:56:26,044989966","192.168.2.10","192.168.2.6","UDP","0xdb3f (56127)","250","0.026951924"
"142","2022-03-11 10:56:26,071984154","192.168.2.10","192.168.2.6","UDP","0xdb54 (56148)","253","0.026994188"
"143","2022-03-11 10:56:26,098976223","192.168.2.10","192.168.2.6","UDP","0xdb68 (56168)","254","0.026992069"
"144","2022-03-11 10:56:26,125878356","192.168.2.10","192.168.2.6","UDP","0xdb7a (56186)","253","0.026902133"
"145","2022-03-11 10:56:26,153028820","192.168.2.10","192.168.2.6","UDP","0xdb95 (56213)","253","0.027150464"
"146","2022-03-11 10:56:26,180042376","192.168.2.10","192.168.2.6","UDP","0xdb9a (56218)","249","0.027013556"
"147","2022-03-11 10:56:26,207906507","192.168.2.10","192.168.2.6","UDP","0xdba2 (56226)","252","0.027864131"
"148","2022-03-11 10:56:26,235027085","192.168.2.10","192.168.2.6","UDP","0xdba4 (56228)","253","0.027120578"
"149","2022-03-11 10:56:26,262023396","192.168.2.10","192.168.2.6","UDP","0xdbbb (56251)","252","0.026996311"
"150","2022-03-11 10:56:26,288799672","192.168.2.10","192.168.2.6","UDP","0xdbd5 (56277)","253","0.026776276"
"151","2022-03-11 10:56:26,315932087","192.168.2.10","192.168.2.6","UDP","0xdbe1 (56289)","252","0.027132415"
"152","2022-03-11 10:56:26,343113783","192.168.2.10","192.168.2.6","UDP","0xdbed (56301)","252","0.027181696"
"153","2022-03-11 10:56:26,370066687","192.168.2.10","192.168.2.6","UDP","0xdc05 (56325)","251","0.026952904"
"154","2022-03-11 10:56:26,396915281","192.168.2.10","192.168.2.6","UDP","0xdc15 (56341)","252","0.026848594"
"155","2022-03-11 10:56:26,424008298","192.168.2.10","192.168.2.6","UDP","0xdc1f (56351)","251","0.027093017"
"156","2022-03-11 10:56:26,450834236","192.168.2.10","192.168.2.6","UDP","0xdc2c (56364)","251","0.026825938"
"157","2022-03-11 10:56:26,477915742","192.168.2.10","192.168.2.6","UDP","0xdc46 (56390)","251","0.027081506"
"158","2022-03-11 10:56:26,505036742","192.168.2.10","192.168.2.6","UDP","0xdc52 (56402)","253","0.027121000"
"159","2022-03-11 10:56:26,531979814","192.168.2.10","192.168.2.6","UDP","0xdc60 (56416)","250","0.026943072"
"160","2022-03-11 10:56:26,559010309","192.168.2.10","192.168.2.6","UDP","0xdc61 (56417)","253","0.027030495"
"161","2022-03-11 10:56:26,585977936","192.168.2.10","192.168.2.6","UDP","0xdc6b (56427)","252","0.026967627"
"162","2022-03-11 10:56:26,613019635","192.168.2.10","192.168.2.6","UDP","0xdc7d (56445)","252","0.027041699"
"163","2022-03-11 10:56:26,640181022","192.168.2.10","192.168.2.6","UDP","0xdc98 (56472)","253","0.027161387"
"164","2022-03-11 10:56:26,666868595","192.168.2.10","192.168.2.6","UDP","0xdca5 (56485)","253","0.026687573"
"165","2022-03-11 10:56:26,693999760","192.168.2.10","192.168.2.6","UDP","0xdcb0 (56496)","252","0.027131165"
"166","2022-03-11 10:56:26,720818992","192.168.2.10","192.168.2.6","UDP","0xdcc6 (56518)","249","0.026819232"
"167","2022-03-11 10:56:26,747933351","192.168.2.10","192.168.2.6","UDP","0xdcce (56526)","252","0.027114359"
"168","2022-03-11 10:56:26,775147070","192.168.2.10","192.168.2.6","UDP","0xdcda (56538)","253","0.027213719"
"169","2022-03-11 10:56:26,801981834","192.168.2.10","192.168.2.6","UDP","0xdce5 (56549)","253","0.026834764"
"170","2022-03-11 10:56:26,828858074","192.168.2.10","192.168.2.6","UDP","0xdcfb (56571)","253","0.026876240"
"171","2022-03-11 10:56:26,855924833","192.168.2.10","192.168.2.6","UDP","0xdd0f (56591)","253","0.027066759"
"172","2022-03-11 10:56:26,882963285","192.168.2.10","192.168.2.6","UDP","0xdd20 (56608)","253","0.027038452"
"173","2022-03-11 10:56:26,909962624","192.168.2.10","192.168.2.6","UDP","0xdd26 (56614)","252","0.026999339"
"174","2022-03-11 10:56:26,937023415","192.168.2.10","192.168.2.6","UDP","0xdd2e (56622)","252","0.027060791"
"175","2022-03-11 10:56:26,963919810","192.168.2.10","192.168.2.6","UDP","0xdd3b (56635)","253","0.026896395"
"176","2022-03-11 10:56:26,991037993","192.168.2.10","192.168.2.6","UDP","0xdd50 (56656)","253","0.027118183"
"177","2022-03-11 10:56:27,017925241","192.168.2.10","192.168.2.6","UDP","0xdd63 (56675)","252","0.026887248"
